,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country
0,matagami,49.75,-77.63,-6.0,37,40,5.1,CA
1,kalmunai,7.42,81.82,28.03,75,66,2.32,LK
2,albany,42.6,-73.97,5.49,33,75,5.1,US
3,puerto ayora,-0.74,-90.35,27.9,66,40,8.2,EC
4,dikson,73.51,80.55,-14.74,81,26,2.8,RU
5,port elizabeth,-33.92,25.57,16.0,87,19,1.0,ZA
6,amberley,39.2,-84.43,10.64,27,40,7.7,US
7,cape town,-33.93,18.42,16.99,67,20,3.1,ZA
8,barrow,71.29,-156.79,-8.0,85,90,9.3,US
9,nikolskoye,59.7,30.79,1.39,74,44,3.0,RU
10,qaanaaq,77.48,-69.36,-11.0,90,86,1.15,GL
11,norman wells,65.28,-126.83,2.0,59,75,3.1,CA
12,rikitea,-23.12,-134.97,24.27,68,58,1.27,PF
13,hithadhoo,-0.6,73.08,29.44,72,80,4.23,MV
14,begusarai,25.42,86.13,30.54,35,45,5.15,IN
15,placido de castro,-10.34,-67.19,25.26,90,95,2.99,BR
16,avarua,-21.21,-159.78,21.0,94,83,0.5,CK
17,saint-michel-des-saints,46.68,-73.92,6.67,4,86,0.45,CA
18,kapaa,22.08,-159.32,21.71,100,75,4.97,US
19,coruripe,-10.13,-36.18,29.85,63,64,5.47,BR
20,iracoubo,5.48,-53.2,28.21,63,34,3.83,GF
21,banjar,-8.19,114.97,27.0,94,90,8.7,ID
22,ushuaia,-54.8,-68.3,12.0,62,20,2.2,AR
23,mar del plata,-38.0,-57.56,17.1,72,20,6.2,AR
24,mataura,-46.19,168.86,10.0,91,62,3.58,NZ
25,souillac,-20.52,57.52,25.54,78,40,6.2,MU
26,fortuna,40.6,-124.16,12.62,93,75,3.1,US
27,gizo,-8.1,156.84,27.59,75,99,1.61,SB
28,california city,35.13,-117.99,17.15,39,1,2.1,US
29,jamestown,42.1,-79.24,2.67,55,90,6.7,US
30,itaqui,-29.13,-56.55,22.47,29,0,5.75,BR
31,grindavik,63.84,-22.43,4.0,64,75,10.3,IS
32,santa cruz,-17.8,-63.17,26.38,34,75,6.7,BO
33,ladario,-19.0,-57.6,26.0,39,0,2.6,BR
