,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1,yulara,-25.24,130.99,15,26,10,2.1
2,hobart,-42.88,147.33,14.01,87,75,2.1
3,bredasdorp,-34.53,20.04,10.79,87,0,0.5
4,pevek,69.7,170.31,-12.89,91,55,0.43
5,rikitea,-23.12,-134.97,24.69,65,74,3.02
6,moose factory,51.26,-80.61,-8,61,90,8.2
7,herat,34.5,62,7.47,56,0,3.44
8,qaanaaq,77.48,-69.36,-6.35,94,100,3.08
9,fairbanks,64.84,-147.72,8.64,39,1,2.6
10,mataura,-46.19,168.86,6.67,94,99,1.79
11,bongandanga,1.5,21.05,24.78,70,36,0.38
12,logan lake,50.5,-120.8,13.38,76,90,3.1
13,puerto ayora,-0.74,-90.35,28.22,66,75,3.1
14,bathsheba,13.22,-59.52,28,65,40,6.7
15,cockburn town,21.46,-71.14,25.95,82,24,7.57
16,arman,59.7,150.17,-4.38,95,98,1.27
17,kapoeta,4.77,33.59,27.24,48,100,2.97
18,banjar,-8.19,114.97,27,88,20,1.5
19,port alfred,-33.59,26.89,16.67,96,85,1.79
20,pacific grove,36.62,-121.92,21.81,49,1,3.6
21,arraial do cabo,-22.97,-42.03,25,78,40,7.7
22,rzhyshchiv,49.97,31.05,1.67,69,100,2
23,hermanus,-34.42,19.23,13.17,92,0,3.2
24,busselton,-33.65,115.33,15.65,62,67,7.56
25,sakakah,29.97,40.21,15,77,75,3.1
26,hithadhoo,-0.6,73.08,29.39,65,66,1.31
27,punta arenas,-53.15,-70.92,10.48,71,75,3.6
28,buston,40.52,69.33,11,87,90,9
29,deniliquin,-35.53,144.97,15.56,68,100,3.13
30,yellowknife,62.46,-114.35,-2.62,79,90,1.5
31,esperance,-33.87,121.9,17,93,90,3.1
32,orocue,4.79,-71.34,34.75,33,0,5.02
33,chuy,-33.7,-53.46,14.86,87,100,11.3
34,bethel,41.37,-73.41,11.9,29,20,3.6
35,ahipara,-35.17,173.17,16.23,68,61,7.89
36,tucupita,9.06,-62.05,32.42,41,99,3.48
37,saskylakh,71.92,114.08,-19.06,90,88,7.05
38,albany,42.6,-73.97,7.47,24,75,5.7
39,ushuaia,-54.8,-68.3,9,76,40,2.55
40,coquimbo,-29.95,-71.34,16,77,75,4.1
41,iquitos,-3.75,-73.25,6,100,40,4.1
42,kavieng,-2.57,150.8,27.63,77,86,2.49
43,mahebourg,-20.41,57.7,24.61,94,40,5.7
44,ravar,31.27,56.81,14.28,35,0,1.23
45,karratha,-20.74,116.85,27.58,71,21,2.42
46,thanh hoa,19.8,105.77,18.55,84,56,0.94
47,atuona,-9.8,-139.03,27.97,68,35,2.78
48,castro,-24.79,-50.01,17.14,65,25,1.6
49,general pico,-35.66,-63.76,19.27,34,77,1.58
50,dikson,73.51,80.55,-14.46,94,22,4.44
51,nanortalik,60.14,-45.24,-1.01,93,14,3.34
52,port lincoln,-34.73,135.87,20.88,33,99,6.55
53,alice springs,-23.7,133.88,12,46,46,2.1
54,andra,62.51,65.89,2.62,93,100,5.35
55,eyl,7.98,49.82,28.6,76,25,4.7
56,cape town,-33.93,18.42,15.82,93,0,5.1
57,greytown,-29.06,30.59,13.06,73,100,0.56
58,camopi,3.17,-52.32,24.76,85,100,1.11
59,saint george,37.1,-113.58,12.89,13,1,1.34
60,worland,44.02,-107.96,4.95,38,1,5.1
61,nevsehir,38.92,34.67,10.33,34,61,3.22
62,tura,25.52,90.22,23.55,51,0,1.99
63,maun,-19.98,23.42,21,83,29,2.1
64,lorengau,-2.02,147.27,27.47,75,97,1.35
65,gazli,40.13,63.45,11.78,36,0,4.86
66,teya,60.38,92.63,1.1,83,0,0.9
67,basco,20.45,121.97,22.21,76,84,5.04
68,bud,39.45,-86.18,7.08,30,90,5.1
69,araouane,18.9,-3.53,27.62,41,98,8.37
70,namatanai,-3.67,152.43,27.42,77,100,2.41
71,dingle,11,122.67,25.22,85,5,2.44
72,avarua,-21.21,-159.78,27,61,68,3.1
73,panama city,8.99,-79.52,26.64,83,75,4.6
74,kundiawa,-6.02,144.97,17.4,51,100,1.02
75,cidreira,-30.18,-50.21,18.95,64,10,9.89
76,hilo,19.73,-155.09,23.77,74,40,3.6
77,vaini,-21.2,-175.2,27,74,75,4.1
78,ponta do sol,32.67,-17.1,14.69,54,20,1.5
79,camacha,33.08,-16.33,15.71,67,20,8.2
80,tuatapere,-46.13,167.68,6.67,94,100,1.79
81,bengkulu,-3.8,102.27,25.8,82,95,1.67
